Year,CitingField,NumOutgoingCitations,CitedField,NumIncomingCitations
1985.0,127413603,293811,127413603,851831
1999.0,33923547,846596,33923547,2094932
2012.0,144024400,1456447,144024400,764104
1946.0,127413603,19838,127413603,56614
1991.0,138885662,40694,138885662,105430
1957.0,71924100,119311,71924100,399020
2002.0,144024400,456261,144024400,1030693
1971.0,138885662,14376,138885662,49310
1971.0,144024400,13138,144024400,100812
1964.0,144024400,3529,144024400,80041
1916.0,205649164,207,205649164,4401
,142362112,969,142362112,276
1987.0,41008148,270164,41008148,1087305
1957.0,192562407,77421,192562407,269467
1989.0,95457728,36512,95457728,133261
2002.0,39432304,482751,39432304,1096073
1984.0,33923547,242660,33923547,1006556
1961.0,138885662,11939,138885662,34938
1926.0,127313418,466,127313418,10529
2013.0,15744967,6071072,15744967,2924937
1933.0,33923547,1107,33923547,28832
2006.0,144024400,780393,144024400,1084349
2014.0,162324750,2031774,162324750,752770
1984.0,144024400,59063,144024400,337249
1967.0,17744445,8106,17744445,75693
1929.0,15744967,1814,15744967,18955
1939.0,192562407,3619,192562407,73001
1982.0,127413603,228686,127413603,684608
1973.0,86803240,499257,86803240,1379598
1952.0,71924100,85955,71924100,289542
1975.0,95457728,28695,95457728,78098
1949.0,127313418,6241,127313418,32142
1988.0,95457728,46869,95457728,124213
1978.0,162324750,44521,162324750,227290
1984.0,95457728,34951,95457728,104372
1923.0,205649164,243,205649164,7204
1943.0,86803240,14502,86803240,84702
1908.0,86803240,1362,86803240,16551
1950.0,142362112,3059,142362112,17090
2021.0,17744445,155617,17744445,1448
1990.0,33923547,417073,33923547,1434296
1983.0,192562407,483719,192562407,1282112
2017.0,95457728,262258,95457728,42225
1949.0,142362112,3916,142362112,17200
1930.0,127413603,525,127413603,17135
1947.0,86803240,17120,86803240,92289
1987.0,39432304,95902,39432304,307255
1947.0,15744967,6536,15744967,41017
1919.0,71924100,4320,71924100,22999
1931.0,127413603,694,127413603,20072
1948.0,162324750,252,162324750,11706
1989.0,185592680,1814907,185592680,3539345
1954.0,127413603,13765,127413603,32868
1984.0,142362112,23152,142362112,81387
1968.0,17744445,8382,17744445,90571
1930.0,138885662,6659,138885662,15426
1993.0,127413603,666636,127413603,1716893
1967.0,192562407,160428,192562407,607991
1979.0,127313418,117426,127313418,410529
1960.0,185592680,183266,185592680,701477
1974.0,205649164,20354,205649164,108554
2017.0,144024400,1522647,144024400,336993
1939.0,33923547,2014,33923547,56822
1981.0,95457728,18858,95457728,92629
1928.0,15744967,1777,15744967,19032
1938.0,127313418,1411,127313418,16122
1987.0,17744445,58753,17744445,241672
1983.0,142362112,24347,142362112,78007
1948.0,127313418,5885,127313418,32159
1963.0,15744967,39625,15744967,226264
1927.0,121332964,2634,121332964,29378
1886.0,33923547,39,33923547,2061
1956.0,17744445,1965,17744445,27451
1917.0,95457728,73,95457728,3895
1871.0,33923547,8,33923547,1126
1919.0,205649164,170,205649164,4293
1918.0,39432304,15,39432304,3856
2008.0,138885662,277004,138885662,142634
2010.0,144024400,1219982,144024400,940253
2007.0,162324750,1101644,162324750,1279386
1975.0,185592680,838917,185592680,2033113
1977.0,41008148,75397,41008148,472282
1964.0,71924100,191697,71924100,642249
1941.0,86803240,15877,86803240,80757
1934.0,205649164,1077,205649164,12714
1989.0,142362112,31796,142362112,102653
1962.0,205649164,6402,205649164,40729
1949.0,95457728,1425,95457728,13945
1999.0,138885662,96572,138885662,136549
1988.0,127313418,229989,127313418,613966
1960.0,192562407,93928,192562407,353688
2006.0,39432304,810413,39432304,1247760
2006.0,138885662,217828,138885662,141580
1902.0,192562407,147,192562407,8506
1947.0,127413603,17456,127413603,47616
1962.0,142362112,6598,142362112,27216
1914.0,121332964,618,121332964,6758
1925.0,15744967,941,15744967,13261
2020.0,33923547,3078612,33923547,155234
1892.0,185592680,932,185592680,5834
1941.0,71924100,40217,71924100,115672
1943.0,33923547,1496,33923547,56091
1945.0,205649164,1575,205649164,18941
1915.0,95457728,185,95457728,4234
2021.0,192562407,2075979,192562407,8909
1967.0,33923547,50359,33923547,421872
2017.0,142362112,257489,142362112,41375
1931.0,15744967,3257,15744967,20286
1884.0,17744445,8,17744445,384
1844.0,138885662,2,138885662,648
1886.0,71924100,273,71924100,5590
1903.0,142362112,108,142362112,4552
1878.0,33923547,18,33923547,5342
1939.0,144133560,75,144133560,1757
,185592680,573,185592680,194
1906.0,39432304,29,39432304,2570
1905.0,205649164,44,205649164,5246
1932.0,162324750,51,162324750,4921
1883.0,121332964,100,121332964,1832
1925.0,144024400,42,144024400,5704
1884.0,205649164,10,205649164,1834
1937.0,144024400,292,144024400,8040
1933.0,95457728,372,95457728,9877
1858.0,185592680,6,185592680,934
1920.0,41008148,50,41008148,14662
1928.0,95457728,179,95457728,9374
1923.0,121332964,1010,121332964,14377
1891.0,95457728,25,95457728,2773
1908.0,95457728,42,95457728,3228
1899.0,142362112,68,142362112,2947
1913.0,192562407,294,192562407,16333
1897.0,142362112,35,142362112,3051
1925.0,95457728,120,95457728,6039
1887.0,33923547,64,33923547,2232
1913.0,95457728,49,95457728,4492
1943.0,162324750,144,162324750,5465
1901.0,17744445,36,17744445,1714
1933.0,144133560,14,144133560,3418
1881.0,192562407,34,192562407,1187
1911.0,127413603,58,127413603,8559
1880.0,86803240,31,86803240,4284
1890.0,33923547,16,33923547,2873
1910.0,162324750,8,162324750,614
1934.0,162324750,79,162324750,20925
1901.0,144024400,4,144024400,1806
1920.0,17744445,88,17744445,3221
1888.0,17744445,6,17744445,1976
1895.0,127313418,36,127313418,1981
1888.0,39432304,5,39432304,108
1863.0,138885662,10,138885662,760
1901.0,127313418,75,127313418,3003
