year(Date),FieldOfStudyId,Gender,Authorships
1999.0,17744445,0,13030
1986.0,205649164,1,13041
2010.0,41008148,0,108628
2013.0,162324750,1,52972
1985.0,144024400,0,4484
1979.0,185592680,0,20892
2010.0,142362112,0,18486
1924.0,127413603,1,1611
1974.0,192562407,0,2717
1967.0,185592680,1,37171
1974.0,71924100,1,39106
1947.0,15744967,0,669
1956.0,41008148,0,456
1870.0,95457728,1,266
1941.0,205649164,0,260
1927.0,138885662,1,1900
1906.0,185592680,1,1286
1919.0,41008148,0,87
2019.0,95457728,1,12681
2000.0,185592680,1,193754
2008.0,144024400,0,26747
2014.0,17744445,0,42599
2011.0,144133560,1,52886
1999.0,162324750,1,22594
2015.0,185592680,0,191716
1987.0,41008148,0,7751
1989.0,162324750,0,2676
1986.0,142362112,0,7241
2019.0,71924100,0,474548
1988.0,144133560,0,2935
1982.0,33923547,0,2527
1990.0,95457728,0,3667
1802.0,142362112,1,206
1911.0,86803240,1,1022
1930.0,39432304,1,1307
1932.0,162324750,1,476
1986.0,33923547,0,3571
1963.0,144024400,0,541
1935.0,192562407,1,2770
1938.0,33923547,0,104
1876.0,127313418,1,134
1861.0,41008148,1,60
1929.0,41008148,0,185
1875.0,127313418,1,128
1947.0,185592680,0,1110
1896.0,192562407,1,145
1888.0,127413603,1,211
1869.0,17744445,1,107
1883.0,205649164,0,26
1890.0,86803240,1,361
1884.0,144024400,0,7
1837.0,138885662,1,96
1961.0,39432304,0,231
1862.0,95457728,1,373
1902.0,41008148,1,645
1863.0,127413603,1,111
1851.0,127313418,1,45
1908.0,142362112,0,246
1925.0,162324750,0,45
1895.0,162324750,1,98
1879.0,17744445,1,137
1919.0,144133560,1,301
1882.0,138885662,0,20
1888.0,33923547,1,125
1851.0,205649164,1,159
1821.0,138885662,1,77
1821.0,95457728,0,6
1801.0,185592680,1,8
1839.0,127413603,1,47
1941.0,138885662,0,188
1884.0,205649164,0,27
1921.0,15744967,0,167
1920.0,127413603,0,169
1915.0,86803240,0,159
1838.0,138885662,1,98
1833.0,17744445,1,28
1859.0,205649164,1,205
