year(Date),FieldOfStudyId,Gender,Authorships
1933.0,142362112,1,3572
1997.0,192562407,0,35056
1996.0,138885662,0,4184
1908.0,95457728,1,1040
1985.0,15744967,0,19435
1943.0,185592680,1,6192
1985.0,205649164,0,4820
1957.0,86803240,0,2172
1936.0,192562407,1,3187
1908.0,127313418,0,46
1934.0,17744445,0,279
1945.0,144133560,1,624
1971.0,33923547,0,1161
1905.0,33923547,1,388
1888.0,205649164,0,26
1897.0,41008148,1,322
1999.0,17744445,0,15909
1986.0,205649164,1,17855
2010.0,41008148,0,141401
2013.0,162324750,1,85196
1985.0,144024400,0,5031
1979.0,185592680,0,24815
2010.0,142362112,0,23488
1924.0,127413603,1,1877
1974.0,192562407,0,2935
1967.0,185592680,1,60108
1974.0,71924100,1,68986
1947.0,15744967,0,729
1956.0,41008148,0,504
1870.0,95457728,1,305
1941.0,205649164,0,287
1927.0,138885662,1,2107
1906.0,185592680,1,1631
1919.0,41008148,0,90
2019.0,95457728,1,16588
2000.0,185592680,1,426986
2008.0,144024400,0,34408
2014.0,17744445,0,57185
2011.0,144133560,1,85368
1999.0,162324750,1,33790
2015.0,185592680,0,351225
1987.0,41008148,0,8668
1989.0,162324750,0,2974
1986.0,142362112,0,8181
2019.0,71924100,0,1046893
1988.0,144133560,0,3299
1982.0,33923547,0,2700
1990.0,95457728,0,4025
1802.0,142362112,1,254
1911.0,86803240,1,1118
1930.0,39432304,1,1464
1932.0,162324750,1,518
1986.0,33923547,0,3886
1963.0,144024400,0,583
1935.0,192562407,1,3264
1938.0,33923547,0,110
1876.0,127313418,1,145
1861.0,41008148,1,62
1929.0,41008148,0,192
1875.0,127313418,1,139
1947.0,185592680,0,1279
1896.0,192562407,1,165
1888.0,127413603,1,252
1869.0,17744445,1,112
1883.0,205649164,0,26
1890.0,86803240,1,388
1884.0,144024400,0,7
1837.0,138885662,1,121
1961.0,39432304,0,243
1862.0,95457728,1,422
1902.0,41008148,1,764
1863.0,127413603,1,130
1851.0,127313418,1,46
1908.0,142362112,0,265
1925.0,162324750,0,47
1895.0,162324750,1,106
1879.0,17744445,1,149
1919.0,144133560,1,328
