year(Date),FieldOfStudyId,AllAuthorships,WosAuthorships
2013.0,39432304,823232,203611
1949.0,185592680,38580,13889
1932.0,138885662,5873,2241
1916.0,71924100,8129,3616
1955.0,127413603,15663,5263
1882.0,138885662,1326,399
1962.0,127413603,26011,8016
1913.0,142362112,10124,3105
1888.0,95457728,1457,530
1972.0,162324750,10920,6413
1970.0,144024400,16235,9163
1921.0,162324750,790,341
1881.0,17744445,540,151
1923.0,33923547,1667,587
1882.0,41008148,546,131
1801.0,138885662,227,55
1829.0,127413603,74,43
1994.0,127413603,393998,150188
2016.0,144024400,390210,109725
1988.0,33923547,101562,43372
1968.0,95457728,19160,9739
1973.0,138885662,19908,9915
1965.0,144133560,6927,2924
1959.0,127313418,13273,4648
1934.0,144024400,1911,959
1935.0,15744967,4017,2015
1894.0,17744445,1115,350
1897.0,95457728,2248,803
1922.0,39432304,3829,1312
1893.0,142362112,4450,1323
1918.0,185592680,4071,1511
1895.0,121332964,1188,309
1991.0,185592680,894975,373492
1890.0,86803240,1136,412
1976.0,127313418,44747,12790
1985.0,121332964,227994,43896
1988.0,162324750,31253,20398
1956.0,41008148,15501,6396
1917.0,142362112,7135,2308
1949.0,41008148,9876,4365
1859.0,142362112,1911,609
1918.0,17744445,2603,1107
1848.0,71924100,873,375
1867.0,121332964,328,89
1898.0,33923547,1749,221
1800.0,121332964,170,69
2015.0,86803240,2795220,1510060
2018.0,71924100,6112107,2739752
1885.0,205649164,1313,505
1994.0,127313418,146037,41279
1998.0,205649164,142215,41232
1973.0,41008148,42661,17462
1866.0,205649164,807,259
1981.0,144133560,22569,10343
1934.0,71924100,21475,9704
1942.0,33923547,2281,903
1860.0,15744967,132,65
1895.0,33923547,669,151
2015.0,41008148,3635136,821392
2017.0,205649164,571674,165854
1948.0,95457728,6930,3343
2017.0,127413603,1002065,324024
1919.0,127313418,4855,794
1889.0,142362112,4514,1437
1990.0,39432304,119002,24255
1945.0,86803240,11001,3452
1914.0,71924100,9419,3913
1925.0,17744445,3504,1557
1886.0,127413603,1143,250
1935.0,144024400,2028,1042
1945.0,39432304,2839,856
1904.0,127313418,6447,510
1874.0,185592680,912,245
1903.0,41008148,5216,692
2016.0,86803240,2769629,1471919
2014.0,33923547,716518,284161
2012.0,162324750,256720,111014
1984.0,121332964,208973,40417
1898.0,142362112,5899,1625
1999.0,144133560,97484,38496
1952.0,185592680,60997,19893
1960.0,127313418,15847,5071
1958.0,121332964,27313,5775
1938.0,33923547,2971,1089
1892.0,138885662,1748,592
1932.0,144024400,1857,935
1894.0,15744967,684,261
1800.0,17744445,210,79
1872.0,162324750,75,14
1978.0,185592680,479742,168524
1953.0,144024400,4107,2184
1962.0,138885662,12017,5479
1943.0,39432304,2312,559
1937.0,127313418,3572,1310
1823.0,205649164,105,50
1809.0,71924100,125,31
2001.0,138885662,89738,26371
1958.0,17744445,10945,5514
1943.0,144024400,2173,1091
1989.0,15744967,111863,68327
1974.0,142362112,37579,18045
2000.0,144133560,124042,46031
1945.0,95457728,5878,2603
1915.0,185592680,4870,1817
1922.0,17744445,2968,1223
1867.0,17744445,347,108
1941.0,127413603,17003,8372
1890.0,95457728,1854,682
1852.0,17744445,249,78
1844.0,142362112,1345,388
1933.0,15744967,3981,2002
1883.0,39432304,399,57
1818.0,121332964,30,17
1914.0,33923547,2090,441
1848.0,144133560,73,31
1890.0,144133560,207,41
1878.0,41008148,465,135
2014.0,86803240,2656132,1447281
1998.0,86803240,870916,488097
1826.0,127413603,73,42
1940.0,162324750,1875,842
1956.0,162324750,2947,1531
1995.0,17744445,104019,42330
2005.0,205649164,291238,93319
1980.0,205649164,53989,20232
1965.0,205649164,16403,6183
1940.0,138885662,4621,2012
1986.0,138885662,33956,16447
1905.0,127413603,4745,924
1881.0,95457728,1053,393
1866.0,86803240,487,179
1896.0,15744967,702,255
1867.0,138885662,680,165
1882.0,192562407,467,67
1890.0,39432304,358,60
1822.0,71924100,99,24
2005.0,192562407,1953258,549870
1936.0,142362112,12715,4701
2017.0,17744445,757022,151674
1971.0,192562407,154302,28662
2009.0,33923547,524734,234049
1992.0,144024400,42992,24307
1989.0,39432304,97322,21783
1998.0,144133560,84870,34700
1957.0,86803240,38792,10442
1939.0,205649164,6359,2263
1936.0,127413603,17681,8368
1951.0,39432304,7038,2316
1886.0,127313418,735,164
1884.0,15744967,282,109
1843.0,127313418,117,35
1838.0,205649164,284,106
2013.0,127313418,777829,175021
1990.0,144133560,46780,17711
1955.0,144024400,4572,2583
1969.0,144133560,10010,4047
1968.0,15744967,34702,19555
1970.0,138885662,20523,9329
1950.0,15744967,8816,4212
1910.0,71924100,8287,3279
1954.0,144024400,4337,2324
1934.0,144133560,1918,761
1945.0,41008148,5899,2456
1877.0,142362112,4097,1057
1869.0,86803240,506,176
1880.0,138885662,1339,348
1829.0,71924100,405,150
1918.0,33923547,1416,348
2013.0,192562407,4304773,899585
2014.0,41008148,3251349,814466
1999.0,121332964,661526,167796
1980.0,95457728,28052,15416
2012.0,205649164,591552,169309
2000.0,39432304,221980,62997
1999.0,95457728,59969,18403
1955.0,192562407,43962,14842
1970.0,192562407,156030,32197
1942.0,95457728,6197,2903
1864.0,138885662,704,189
1933.0,192562407,12908,4396
1899.0,127313418,4890,441
1819.0,95457728,215,134
1866.0,185592680,457,108
1843.0,71924100,695,339
1900.0,33923547,1825,313
1837.0,192562407,81,21
2003.0,192562407,1692999,469449
1999.0,71924100,1453726,679569
1966.0,138885662,15017,6656
1994.0,71924100,1098453,448811
2005.0,33923547,359320,166540
2004.0,144024400,131573,56417
1944.0,71924100,20279,9650
1919.0,142362112,7762,2572
1944.0,185592680,16380,6890
1906.0,71924100,7129,3005
1955.0,86803240,33832,9277
1908.0,138885662,2930,1072
1913.0,138885662,3608,1310
1903.0,15744967,842,321
1944.0,127313418,2535,1039
1869.0,142362112,1977,701
1894.0,127313418,1367,273
1860.0,41008148,193,86
2020.0,144024400,399613,89330
1999.0,127413603,578593,209796
1995.0,185592680,1054854,462496
1975.0,17744445,36592,22102
1906.0,205649164,2582,874
1970.0,185592680,322493,94865
1982.0,17744445,46459,27863
1974.0,162324750,13035,7991
1913.0,33923547,2322,483
1880.0,127413603,890,226
1913.0,17744445,2482,1046
1820.0,33923547,18,8
1878.0,17744445,661,142
1856.0,142362112,1738,481
2015.0,15744967,1127688,485999
1961.0,162324750,4524,2388
1977.0,127413603,126975,51978
1968.0,86803240,104950,29420
1970.0,121332964,97336,15767
1967.0,127313418,25065,8256
1982.0,144024400,24946,15829
2021.0,205649164,27605,9936
1948.0,138885662,5863,2771
2021.0,127413603,7947,2085
1973.0,127313418,33056,10317
1928.0,127413603,6561,2490
1901.0,95457728,2482,939
1870.0,15744967,135,49
1814.0,192562407,31,11
1879.0,144024400,125,47
1926.0,162324750,1125,508
1906.0,15744967,944,363
1809.0,127413603,52,24
1857.0,121332964,388,93
2020.0,192562407,6085802,832333
2017.0,192562407,4688016,985762
1905.0,86803240,2525,926
1951.0,127413603,12404,4554
1946.0,71924100,46093,11023
1824.0,162324750,13,8
1949.0,86803240,18347,5449
1942.0,144024400,2562,1378
1823.0,95457728,172,111
1892.0,121332964,899,210
1902.0,144133560,840,200
1818.0,71924100,151,32
1866.0,15744967,104,46
1853.0,162324750,52,19
1812.0,71924100,133,48
1817.0,86803240,70,35
1836.0,95457728,379,223
1817.0,95457728,207,121
1847.0,17744445,172,53
1867.0,86803240,443,148
1860.0,33923547,138,53
1841.0,41008148,176,69
1847.0,121332964,159,32
1842.0,86803240,382,90
1888.0,121332964,647,186
1828.0,127313418,46,19
1817.0,185592680,21,10
1878.0,121332964,481,99
1844.0,121332964,132,38
1849.0,39432304,51,22
1800.0,71924100,243,58
1823.0,127313418,31,23
1850.0,15744967,100,46
1837.0,41008148,67,22
1854.0,162324750,50,20
1822.0,205649164,149,62
1886.0,162324750,157,49
1832.0,127413603,76,46
1840.0,192562407,61,16
1868.0,41008148,226,101
1867.0,39432304,69,16
1842.0,127313418,129,30
1806.0,15744967,28,17
1826.0,95457728,200,108
1806.0,127413603,41,33
1855.0,192562407,67,10
1813.0,127413603,38,20
1819.0,127413603,35,17
1849.0,144133560,58,16
1859.0,39432304,60,24
1873.0,144024400,97,24
1844.0,144133560,28,10
1838.0,15744967,61,41
1804.0,121332964,13,7
1824.0,15744967,27,23
1822.0,39432304,16,8
1812.0,15744967,36,23
1811.0,185592680,42,9
1818.0,41008148,40,17
1836.0,192562407,34,14
1822.0,127413603,32,18
1841.0,121332964,78,14
1814.0,144024400,15,9
1805.0,41008148,20,13
1830.0,144133560,19,8
1826.0,144024400,11,1
1824.0,127313418,48,18
1835.0,39432304,23,10
1805.0,15744967,35,21
1816.0,162324750,14,7
1829.0,162324750,7,5
1819.0,121332964,18,4
1831.0,144133560,12,5
1830.0,41008148,37,20
1827.0,17744445,73,21
1824.0,192562407,23,4
1846.0,162324750,27,18
1818.0,15744967,37,24
1811.0,17744445,72,28
1802.0,39432304,10,2
1821.0,15744967,15,6
1803.0,33923547,8,5
1820.0,144133560,11,3
1817.0,162324750,14,11
1802.0,33923547,12,7
1810.0,144133560,7,1
1804.0,162324750,2,1
2002.0,33923547,272589,127149
2002.0,86803240,1132101,656542
1997.0,144024400,65821,33514
2010.0,162324750,217935,98640
1971.0,162324750,9833,5858
1947.0,33923547,2954,1065
1932.0,95457728,5346,2278
1952.0,138885662,8524,3691
1917.0,86803240,4083,1383
1925.0,205649164,4116,1553
1936.0,121332964,5170,1317
1937.0,192562407,11396,3719
1903.0,138885662,2527,837
1955.0,144133560,4042,1598
1949.0,144024400,3137,1674
1864.0,71924100,1179,473
2008.0,71924100,3317029,1667009
1928.0,142362112,12131,4494
1859.0,17744445,338,123
1909.0,144024400,891,395
1918.0,192562407,7534,1382
1918.0,205649164,2460,899
1902.0,33923547,1978,314
1878.0,138885662,1090,330
1858.0,127313418,318,53
1839.0,127413603,143,54
1985.0,185592680,669651,264190
1988.0,144024400,33145,20875
1972.0,121332964,103214,17119
1959.0,71924100,145287,30818
1938.0,71924100,24133,11055
1974.0,138885662,20952,10587
1897.0,162324750,339,145
1956.0,192562407,47450,15481
1931.0,15744967,3599,1801
1908.0,33923547,2036,377
1907.0,192562407,11005,944
1879.0,205649164,1200,419
1900.0,162324750,359,110
1844.0,127313418,104,24
1871.0,95457728,828,343
1982.0,185592680,579352,218739
1988.0,15744967,104024,64822
1959.0,15744967,15234,7711
1973.0,144133560,12283,5730
1854.0,138885662,580,169
1915.0,86803240,4115,1421
1868.0,192562407,167,41
1884.0,17744445,963,169
1896.0,127313418,1596,305
1889.0,121332964,795,212
1809.0,86803240,63,14
1815.0,127413603,69,48
1901.0,15744967,790,317
1872.0,39432304,210,35
1999.0,33923547,214572,100511
1964.0,144024400,7324,4275
1995.0,121332964,550919,114087
1957.0,71924100,140698,26913
1919.0,121332964,2874,528
1968.0,142362112,32493,14465
1971.0,138885662,18416,9107
1971.0,144024400,14893,9488
1861.0,41008148,134,63
1880.0,192562407,654,125
1987.0,41008148,240709,70823
2005.0,144133560,211120,73932
2002.0,39432304,254052,74627
1951.0,185592680,54879,18656
1989.0,95457728,37989,17380
1957.0,192562407,52460,16243
1933.0,144133560,2072,845
1935.0,192562407,11224,3473
1913.0,95457728,3145,1274
1926.0,41008148,7311,2868
1886.0,71924100,2713,1042
1865.0,15744967,166,101
1907.0,162324750,429,131
1837.0,86803240,168,81
1900.0,41008148,4950,694
1901.0,33923547,1783,283
1856.0,205649164,603,291
1899.0,33923547,2011,291
1885.0,192562407,506,69
1833.0,138885662,308,111
1983.0,33923547,69805,28525
2011.0,86803240,2219498,1251935
2001.0,121332964,793085,205318
1973.0,162324750,11493,7002
1887.0,41008148,710,208
1944.0,15744967,3819,2109
1850.0,95457728,665,301
1918.0,41008148,4868,1056
1847.0,185592680,274,85
1878.0,33923547,402,116
1842.0,144133560,40,20
1823.0,71924100,186,62
2014.0,162324750,283675,114951
