AuthorId,PageRank,PageRank05,InDegreeStrength,InDegree,OutDegreeStrength,OutDegree,Gender,Rank,AuthorId.1,Rank.1,NormalizedName,DisplayName,LastKnownAffiliationId,PaperCount,PaperFamilyCount,CitationCount,CreatedDate,DisplayName.1
1815791491,0.00078251824,0.00041482758,27716.062,21091.0,2834.057,1378.0,0,12199,1815791491,12199,dani rodrik,Dani Rodrik,136199984.0,301,268,45766,2016-06-24,Dani Rodrik
2111470836,0.0007809988,0.00030274916,18170.75,23561.0,1436.3334,776.0,-1,12300,2111470836,12300,n gregory mankiw,N. Gregory Mankiw,136199984.0,181,154,31509,2016-06-24,N. Gregory Mankiw
2559352217,0.0007775006,0.00029957588,18075.498,14637.0,1984.4851,1621.0,1,12355,2559352217,12355,david card,David Card,95457486.0,336,290,33900,2016-12-08,David Card
2111466348,0.0007748054,0.0003398471,17494.21,15990.0,741.06946,511.0,1,12619,2111466348,12619,christopher a sims,Christopher A. Sims,20089843.0,129,125,29079,2016-06-24,Christopher A. Sims
2163230505,0.00077166315,0.00037273302,17053.352,20656.0,1440.8988,1492.0,1,11834,2163230505,11834,jeffrey d sachs,Jeffrey D. Sachs,78577930.0,718,691,56441,2016-06-24,Jeffrey D. Sachs
2040904325,0.00077132025,0.00039345206,13049.508,21570.0,3.162393,29.0,1,11879,2040904325,11879,joseph a schumpeter,Joseph A. Schumpeter,136199984.0,160,159,66194,2016-06-24,Joseph A. Schumpeter
2147218102,0.0007657311,0.00025816416,21132.992,12608.0,3256.5361,1529.0,1,12853,2147218102,12853,michael woodford,Michael Woodford,78577930.0,246,217,28389,2016-06-24,Michael Woodford
298869017,0.0007535818,0.00030076702,19995.855,16529.0,3264.3467,1847.0,1,12563,298869017,12563,maurice obstfeld,Maurice Obstfeld,95457486.0,292,238,29749,2016-06-24,Maurice Obstfeld
1970476475,0.00074758776,0.00034421028,25434.83,26085.0,5402.521,3400.0,1,11959,1970476475,11959,daron acemoglu,Daron Acemoglu,63966007.0,582,468,64961,2016-06-24,Daron Acemoglu
2105962191,0.00074744207,0.00030996941,11881.546,15351.0,620.6667,555.0,1,12638,2105962191,12638,sherwin rosen,Sherwin Rosen,40347166.0,99,88,24405,2016-06-24,Sherwin Rosen
2603280716,0.0007466802,0.00028780234,11000.203,17525.0,963.4611,1378.0,1,12210,2603280716,12210,richard roll,Richard Roll,122411786.0,187,180,29439,2017-04-07,Richard Roll
1455473529,0.00072601123,0.00030327804,20344.074,21815.0,1056.45,884.0,1,12374,1455473529,12374,ben s bernanke,Ben S. Bernanke,115283149.0,169,151,40865,2016-06-24,Ben S. Bernanke
723107423,0.00072414835,0.0002840814,11996.683,18576.0,1039.3175,598.0,1,12039,723107423,12039,paul milgrom,Paul Milgrom,97018004.0,157,153,48737,2016-06-24,Paul Milgrom
558711637,0.0007226105,0.00032541013,13834.461,17575.0,724.31946,646.0,1,12349,558711637,12349,george a akerlof,George A. Akerlof,95457486.0,120,114,37662,2016-06-24,George A. Akerlof
2495582284,0.00071800826,0.0002330017,5951.067,7661.0,38.0,32.0,1,13102,2495582284,13102,john lintner,John Lintner,136199984.0,32,32,8831,2016-08-23,John Lintner
