index,centrality,rND,rKL,rRD,equal_ex
11,Rank,0.2857940320614738,0.09182193518002596,0.40414833240445414,0.9960359599128893
12,PageRank,0.11233588691835193,0.022105283299778466,0.17732065284086065,1.038739837687049
12,PageRank05,0.11267550274020782,0.022052866646876394,0.1779452325443309,1.0294759593404614
12,InDegreeStrength,0.09457339338056785,0.0175394613126167,0.1509015302152149,1.043290758876917
12,Rank,0.28788654864813795,0.09292005331991823,0.4073977772295701,0.996015929870203
13,PageRank,0.11544212146657411,0.02265116602554031,0.18320568156817427,1.0400247754983167
13,PageRank05,0.11650345277324495,0.02272709878242426,0.18497328841565447,1.0303028082512835
13,InDegreeStrength,0.09940538127668302,0.01848554424983315,0.15931212533561076,1.049815694656665
13,Rank,0.29130865605585965,0.09424623925413156,0.41324459116337553,0.9959547550303367
14,PageRank,0.11434670185678517,0.022502205391268636,0.18203236413039126,1.039691222128602
14,PageRank05,0.11540619992390079,0.02256279803174024,0.18382720413461343,1.0301297761761343
14,InDegreeStrength,0.0973185426637992,0.018179130077200522,0.15643262882969322,1.0501064971798866
14,Rank,0.29301218321366385,0.09513777285296668,0.4165159456128277,0.9959300717949563
15,PageRank,0.11054471058233187,0.021651564969141116,0.1765331111041671,1.038111210185984
15,PageRank05,0.11141401502071821,0.021614428523076688,0.178157640508536,1.029112054833583
15,InDegreeStrength,0.09378578210931551,0.017480240980541368,0.15114136244548215,1.0261426769780333
15,Rank,0.2934860691933811,0.0957937072230238,0.41745332753262104,0.9959402349060181
16,PageRank,0.11128361996177102,0.02180933400870007,0.17804435824563938,1.0385334284591923
16,PageRank05,0.11267930359625339,0.02201261035807802,0.18035814671070097,1.0294195126045655
16,InDegreeStrength,0.09542673145522512,0.017816273655582502,0.15409160043270284,1.0423929119380824
16,Rank,0.294843338907223,0.09635771912849084,0.4197693316097103,0.9959222541173823
17,PageRank,0.10948566734164827,0.02155104304620412,0.17534743348248455,1.0376851321805844
17,PageRank05,0.11098016218168975,0.02165669545836634,0.1779476887600176,1.028923274141031
17,InDegreeStrength,0.09218480496075862,0.01724833597643111,0.14900762924302724,1.0304930247882387
17,Rank,0.2946323451554572,0.09582960112047648,0.420489112097319,0.9959215430768763
18,PageRank,0.10805106188754458,0.021140569325037353,0.17357939671682057,1.0372930977247694
18,PageRank05,0.1098269148994088,0.021341192968857833,0.17661861821266536,1.028702279255355
18,InDegreeStrength,0.09247949235099759,0.01736557042450238,0.14980265589096903,1.0563911101966597
18,Rank,0.29732523027766194,0.09713491059091788,0.42459910017437846,0.9958726299682694
19,PageRank,0.10654143903361679,0.020755302518656506,0.17155242289586176,1.0367202258523345
19,PageRank05,0.10898684128496526,0.021132395123436253,0.1756041394279603,1.028453918693008
19,InDegreeStrength,0.09073104345325643,0.016842639988385373,0.14748962896021198,1.0471574805849644
19,Rank,0.29873604841555407,0.09780448158137188,0.42677029026487046,0.9958504794485046
20,PageRank,0.10578062268558297,0.02067678978567817,0.17064683148780893,1.0366519156464773
20,PageRank05,0.10823713139464865,0.020966636811439107,0.17483101658672953,1.0284534436879575
20,InDegreeStrength,0.08996903968271204,0.016753152388774003,0.14650154892542624,1.0273624910946366
20,Rank,0.3003200436673993,0.09847893727326913,0.42954767095612933,0.9958178595565677
