AuthorId	PageRank	PageRank05	InDegreeStrength	InDegree	OutDegreeStrength	OutDegree	Gender	Rank
430150837	4.010144e-06	3.8722064e-06	144.14444	354.0	356.80554	356.80554	1	15778
480644413	3.7142556e-06	2.634298e-06	71.52778	253.0	67.5	67.5	1	17123
486743570	6.1943985e-07	1.1271595e-06	3.1666667	9.0	9.0	9.0	1	16279
591879413	8.265825500000001e-07	1.4323073e-06	3.0	16.0	9.75	9.75	1	15278
602091845	1.7350345e-06	1.5717e-06	21.5	37.0	32.291668	32.291668	0	17118
661590364	1.1273492e-06	1.7758199e-06	6.1666665	30.0	16.5	16.5	1	17252
664264290	1.3476753000000001e-05	1.2922388e-05	61.645237	341.0	25.532142999999998	25.532142999999998	1	13708
667353618	6.472838000000001e-06	4.0774552999999996e-06	115.91666399999998	240.0	114.08333600000002	114.08333600000002	1	16626
684542690	8.024939e-07	1.3135813000000002e-06	6.3333335	9.0	13.0	13.0	1	17522
691000733	1.0920339e-05	9.3576145e-06	121.99696999999999	403.0	87.99696999999999	87.99696999999999	0	15529
695414941	1.092424e-06	1.6009216e-06	18.25	47.0	24.5	24.5	0	16023
699475588	4.7988215e-07	1.0261032e-06	0.0	0.0	0.6666667	0.6666667	1	15098
700342525	1.2896823999999998e-06	1.3836553999999998e-06	22.666666	28.0	118.0	118.0	0	18939
703015190	7.79512e-07	1.3202188999999998e-06	10.0	30.0	32.916668	32.916668	0	17456
710644181	1.8089926e-05	9.687908499999999e-06	190.92223	504.0	194.08333000000002	194.08333000000002	1	12774
716498837	5.5518317e-06	3.406127e-06	106.83333600000002	227.0	127.83333600000002	127.83333600000002	1	16589
722892431	3.3373360000000004e-06	3.5152968e-06	39.166668	113.0	106.38193999999999	106.38193999999999	1	16608
724617540	5.038684e-07	1.0562366000000001e-06	0.33333334	4.0	4.0	4.0	1	15676
724634061	3.648756e-06	3.6576325e-06	32.595238	65.0	72.083336	72.083336	1	14310
737543354	6.2519644e-07	1.1782716000000001e-06	4.0833335	23.0	49.430557	49.430557	1	17605
740765281	1.8407181e-05	7.2918847e-06	100.361115	231.0	92.333336	92.333336	0	14516
743065359	1.8969255000000002e-06	2.4576675e-06	29.366667	62.0	56.41111	56.41111	0	15613
743570512	1.5342444e-05	9.286725e-06	259.39444	469.0	237.25	237.25	1	15228
746974716	4.7988215e-07	1.0261032e-06	0.0	0.0	7.833333500000001	7.833333500000001	0	19559
806176128	5.1769086e-07	1.0716617e-06	0.7777778000000001	4.0	12.444445	12.444445	0	16446
1025011503	4.7988215e-07	1.0261032e-06	0.0	0.0	7.166666499999999	7.166666499999999	0	18567
1050570001	7.273150699999999e-07	1.2172826e-06	3.0	16.0	5.111111	5.111111	0	17828
1056662783	8.526803000000001e-07	1.3599497e-06	10.25	23.0	3.5	3.5	1	15497
1112763234	2.3033117e-06	2.3343878e-06	29.25	78.0	16.833334	16.833334	0	13717
1175331606	4.1059097e-06	4.028157e-06	140.21666000000002	386.0	506.40555	506.40555	0	15165
1177842763	9.609728e-07	1.5119231000000002e-06	4.866667	13.0	22.166666	22.166666	0	17467
1211902473	1.3282864e-05	6.493764e-06	154.06944	298.0	112.91666399999998	112.91666399999998	1	13790
1215387378	1.9665683e-06	2.2177808e-06	35.666668	138.0	20.5	20.5	0	17003
1218445674	7.695738299999999e-07	1.3118438e-06	2.0833333	13.0	17.527779000000002	17.527779000000002	1	15597
1220496055	1.4075383e-05	9.6618105e-06	126.9875	470.0	122.61667	122.61667	1	14605
1221620400	6.0162284e-07	1.1762363e-06	0.6666667	10.0	9.683333	9.683333	1	16247
1227426718	4.7988215e-07	1.0261032e-06	0.0	0.0	2.0	2.0	0	15845
1237305106	1.0889927e-05	4.5734587e-06	121.59722	196.0	243.5	243.5	0	16195
1249309891	5.895576999999999e-07	1.1350188999999999e-06	2.5	20.0	11.0	11.0	1	19157
1256860523	6.334569000000001e-07	1.206567e-06	0.6666667	7.0	2.3333333	2.3333333	1	17310
1259061396	1.2914448000000001e-06	1.396028e-06	9.027778	40.0	3.6666667	3.6666667	0	18281
1264173380	1.8014481e-06	2.2563468e-06	2.3333333	12.0	0.33333334	0.33333334	1	16411
1267735177	4.7988215e-07	1.0261032e-06	0.0	0.0	12.0	12.0	0	15930
1269671142	1.114099e-06	1.4426889e-06	26.681818	24.0	210.98485	210.98485	1	17048
1400413005	6.789150600000001e-07	1.2351208999999998e-06	0.6666667	4.0	1.0	1.0	0	17544
1443098910	1.0120489999999999e-06	1.6605601000000001e-06	7.833333500000001	18.0	25.61111	25.61111	1	17319
1450265900	5.69765e-07	1.0739152e-06	2.0	3.0	34.0	34.0	0	16431
1481165111	6.452498e-07	1.213058e-06	3.5	10.0	19.0	19.0	0	18944
1496718664	5.138699e-07	1.0604616e-06	1.3333334	7.0	22.212122	22.212122	1	18303
1499442513	4.8438517e-07	1.0298622e-06	0.5	2.0	27.0	27.0	0	17868
1523464563	5.94508e-07	1.1275949e-06	3.3333333	18.0	47.47222	47.47222	0	17868
1535350309	7.692281e-07	1.3038783000000002e-06	4.6666665	15.0	6.55	6.55	0	17452
1553733764	9.560399e-07	1.3034061e-06	12.0	50.0	18.5	18.5	1	17527
1587988702	7.3055605e-07	1.3309148000000002e-06	2.0	10.0	20.0	20.0	1	16394
1600511895	5.7219114e-07	1.1322986000000002e-06	1.5	6.0	6.0	6.0	0	16212
1638600351	6.1915875e-07	1.1950407e-06	3.0	7.0	6.0	6.0	1	18287
1653892601	1.1183432e-05	5.7759789999999995e-06	189.58333000000002	442.0	219.91667	219.91667	0	15260
1724190419	4.7988215e-07	1.0261032e-06	0.0	0.0	7.1833334	7.1833334	1	17443
1725807979	2.3569407e-06	1.8357395e-06	53.75	126.0	215.48334	215.48334	1	16978
1743430787	6.158487600000001e-07	1.1971205e-06	1.0	1.0	2.25	2.25	1	16464
1744928012	5.0948347e-07	1.0555481e-06	1.4166666	8.0	69.916664	69.916664	1	17215
1748516719	6.2898437e-07	1.1075385e-06	0.8333333	8.0	11.666667	11.666667	0	14925
1772490958	4.7988215e-07	1.0261032e-06	0.0	0.0	2.5	2.5	1	16115
1795289070	5.0638374e-07	1.0561391999999998e-06	0.33333334	2.0	2.3333333	2.3333333	0	16202
1798380569	9.201016e-07	1.5776737e-06	1.0	4.0	13.125	13.125	0	16540
1802461999	5.796125600000001e-07	1.1154895e-06	2.7	21.0	6.677778	6.677778	0	16561
1822906552	6.15934e-06	5.797996000000001e-06	41.75	76.0	35.583332	35.583332	1	14985
1823851100	7.6462675e-06	4.0906716e-06	165.41666999999998	350.0	169.29166999999998	169.29166999999998	0	17216
